Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Payment_Mode,Status,Channel,Merchant_ID
TXN000034,CUST0034,6/14/2024,Purchase,949.4,Debit Card,Success,In-store,M793
TXN000035,CUST0035,3/27/2025,Purchase,965.98,Debit Card,Success,Online,M233
TXN000036,CUST0036,1/22/2025,Purchase,810.31,Credit Card,Success,Online,M521
TXN000037,CUST0037,1/2/2024,Purchase,311.57,Debit Card,Success,In-store,M540
TXN000038,CUST0038,4/22/2023,Refund,106.7,UPI,Success,Online,M132
TXN000039,CUST0039,5/6/2023,Purchase,687.39,UPI,Success,Online,M746
TXN000040,CUST0040,12/2/2024,Purchase,445.75,Debit Card,Success,Online,M799
TXN000041,CUST0041,4/5/2025,Purchase,130.82,Credit Card,Success,Online,M787
TXN000042,CUST0042,10/22/2023,Purchase,500.23,Debit Card,Success,Online,M880
TXN000043,CUST0043,6/20/2024,Purchase,44.04,Credit Card,Success,Online,M113
TXN000044,CUST0044,3/6/2025,Purchase,910.23,Credit Card,Success,Online,M982
TXN000045,CUST0045,4/3/2025,Purchase,266.19,Cash,Success,Online,M137
TXN000046,CUST0046,11/9/2024,Purchase,665.9,Credit Card,Success,In-store,M366
TXN000047,CUST0047,6/3/2024,Purchase,318.59,Cash,Success,Online,M577
TXN000048,CUST0048,4/20/2024,Purchase,524.87,UPI,Success,Online,M129
TXN000049,CUST0049,7/22/2023,Purchase,551.24,UPI,Success,Online,M975
TXN000050,CUST0050,8/1/2024,Purchase,193.01,Cash,Success,Online,M684
TXN000051,CUST0051,7/13/2023,Purchase,969.89,UPI,Success,In-store,M854
TXN000052,CUST0052,9/15/2024,Purchase,777.38,Credit Card,Success,Online,M180
TXN000053,CUST0053,8/7/2024,Purchase,940.1,Cash,Success,Online,M171
TXN000054,CUST0054,4/23/2023,Purchase,895.88,UPI,Success,Online,M161
TXN000055,CUST0055,12/8/2024,Purchase,601.92,Credit Card,Success,In-store,M853
TXN000056,CUST0056,6/4/2023,Purchase,922.66,Credit Card,Success,Online,M351
TXN000057,CUST0057,1/9/2025,Purchase,97.61,Credit Card,Success,Online,M934
TXN000058,CUST0058,3/16/2025,Purchase,204.02,Credit Card,Success,Online,M415
TXN000059,CUST0059,10/4/2023,Refund,54.78,Debit Card,Success,In-store,M698
TXN000060,CUST0060,5/17/2024,Purchase,332.08,Cash,Success,Online,M871
TXN000061,CUST0061,11/22/2023,Purchase,394.79,Credit Card,Success,Online,M781
TXN000062,CUST0062,12/14/2023,Refund,278.64,Debit Card,Success,In-store,M470
TXN000063,CUST0063,5/9/2023,Purchase,830.45,Cash,Success,Online,M944
TXN000064,CUST0064,6/22/2023,Purchase,363.19,Debit Card,Success,In-store,M531
TXN000065,CUST0065,5/25/2023,Purchase,288.13,Credit Card,Success,In-store,M179
TXN000066,CUST0066,7/2/2024,Purchase,547.27,Credit Card,Success,In-store,M180
TXN000067,CUST0067,10/12/2023,Purchase,149.51,Debit Card,Success,In-store,M714
TXN000068,CUST0068,8/7/2024,Purchase,804.18,Cash,Success,Online,M805
TXN000069,CUST0069,4/10/2024,Purchase,83.81,Debit Card,Failed,In-store,M883
TXN000070,CUST0070,4/25/2024,Purchase,987.02,Cash,Success,Online,M712
TXN000071,CUST0071,2/19/2025,Purchase,774.52,Debit Card,Failed,In-store,M613
TXN000072,CUST0072,12/13/2024,Purchase,206.73,UPI,Success,In-store,M681
TXN000073,CUST0073,3/8/2025,Purchase,15.47,Credit Card,Success,Online,M705
TXN000074,CUST0074,9/18/2024,Purchase,817.31,Cash,Success,In-store,M853
TXN000075,CUST0075,4/23/2024,Purchase,709.79,UPI,Success,Online,M508
TXN000076,CUST0076,8/1/2024,Purchase,731.72,UPI,Success,Online,M953
TXN000077,CUST0077,9/28/2023,Refund,773.56,Debit Card,Success,Online,M421
TXN000078,CUST0078,1/5/2025,Purchase,83.3,Cash,Success,In-store,M182
TXN000079,CUST0079,5/14/2024,Purchase,364.88,Cash,Success,Online,M188
TXN000080,CUST0080,11/5/2024,Purchase,124.71,Debit Card,Success,In-store,M660
TXN000081,CUST0081,1/18/2025,Purchase,864.47,Cash,Success,Online,M204
TXN000082,CUST0082,12/30/2023,Purchase,627.07,Cash,Success,Online,M799
TXN000083,CUST0083,1/23/2025,Refund,337.59,Credit Card,Success,Online,M425
TXN000084,CUST0084,8/28/2024,Purchase,72.92,UPI,Success,In-store,M614
TXN000085,CUST0085,4/16/2024,Purchase,317.87,Cash,Success,Online,M320
TXN000086,CUST0086,6/18/2024,Purchase,331.93,Cash,Success,Online,M866
TXN000087,CUST0087,1/26/2025,Purchase,732.31,Debit Card,Success,Online,M558
TXN000088,CUST0088,7/3/2023,Purchase,641.18,Credit Card,Success,In-store,M906
TXN000089,CUST0089,8/4/2024,Refund,888.34,Credit Card,Success,In-store,M383
TXN000090,CUST0090,11/16/2023,Purchase,477.49,UPI,Success,Online,M511
TXN000091,CUST0091,3/10/2025,Purchase,128.4,Credit Card,Success,Online,M536
TXN000092,CUST0092,3/31/2025,Purchase,716.11,Cash,Success,Online,M178
TXN000093,CUST0093,4/14/2024,Purchase,763.18,Credit Card,Success,In-store,M419
TXN000094,CUST0094,11/24/2023,Purchase,565.66,Debit Card,Success,In-store,M847
TXN000095,CUST0095,7/4/2024,Purchase,773.26,UPI,Success,Online,M413
TXN000096,CUST0096,12/17/2023,Refund,498.86,Credit Card,Success,Online,M581
TXN000097,CUST0097,9/13/2023,Purchase,527.51,UPI,Success,In-store,M559
TXN000098,CUST0098,1/3/2024,Purchase,433.27,Cash,Success,Online,M535
TXN000099,CUST0099,3/15/2024,Purchase,35.16,Cash,Success,Online,M195
TXN000100,CUST0100,3/28/2025,Purchase,116.81,Debit Card,Success,In-store,M622
TXN000101,CUST0101,4/1/2024,Purchase,41.11,Credit Card,Success,Online,M758
TXN000102,CUST0102,9/22/2024,Purchase,640.05,Debit Card,Success,Online,M882
TXN000103,CUST0103,2/15/2025,Purchase,321.21,Credit Card,Success,Online,M763
TXN000104,CUST0104,10/27/2024,Refund,513.48,Debit Card,Success,Online,M518
TXN000105,CUST0105,6/23/2024,Purchase,908.49,Debit Card,Success,Online,M623
TXN000106,CUST0106,7/8/2024,Purchase,256.8,UPI,Success,In-store,M598
TXN000107,CUST0107,9/19/2023,Purchase,416.28,Credit Card,Success,In-store,M784
TXN000108,CUST0108,8/6/2024,Purchase,758,Debit Card,Success,Online,M100
TXN000109,CUST0109,5/3/2023,Purchase,236.51,Cash,Success,Online,M387
TXN000110,CUST0110,12/6/2024,Purchase,86.21,Debit Card,Success,Online,M837
TXN000111,CUST0111,2/12/2025,Purchase,296.85,UPI,Success,In-store,M572
TXN000112,CUST0112,3/21/2025,Purchase,169.61,Debit Card,Success,Online,M850
TXN000113,CUST0113,11/23/2024,Purchase,930.4,Credit Card,Success,Online,M697
TXN000114,CUST0114,3/9/2025,Purchase,810.04,Credit Card,Success,Online,M521
TXN000115,CUST0115,6/25/2024,Purchase,637.07,Credit Card,Success,Online,M509
TXN000116,CUST0116,11/17/2024,Purchase,872.75,Debit Card,Success,In-store,M787
TXN000117,CUST0117,6/12/2023,Purchase,805.64,Credit Card,Success,Online,M766
TXN000118,CUST0118,12/9/2024,Purchase,194.7,Debit Card,Success,Online,M979
TXN000119,CUST0119,12/20/2024,Purchase,893.63,Cash,Success,Online,M900
TXN000120,CUST0120,4/12/2025,Purchase,543.95,Debit Card,Failed,Online,M953
TXN000121,CUST0121,8/9/2023,Purchase,809.37,Credit Card,Success,Online,M492
TXN000122,CUST0122,1/13/2025,Purchase,897.13,Cash,Success,Online,M660
TXN000123,CUST0123,9/8/2024,Purchase,324.82,UPI,Success,Online,M250
TXN000124,CUST0124,10/3/2024,Purchase,118.95,UPI,Success,Online,M825
TXN000125,CUST0125,2/9/2025,Purchase,235.66,UPI,Success,In-store,M728
TXN000126,CUST0126,3/19/2025,Purchase,432.84,UPI,Success,Online,M116
TXN000127,CUST0127,6/20/2023,Purchase,819.83,Cash,Success,Online,M858
TXN000128,CUST0128,7/7/2023,Purchase,862.12,UPI,Success,In-store,M481
TXN000129,CUST0129,2/2/2025,Purchase,16.88,Debit Card,Failed,Online,M829
TXN000130,CUST0130,10/12/2023,Purchase,515.64,UPI,Success,Online,M236
TXN000131,CUST0131,11/22/2024,Purchase,423.24,Debit Card,Success,In-store,M477
TXN000132,CUST0132,7/1/2023,Purchase,229.89,Debit Card,Success,Online,M513
TXN000133,CUST0133,6/22/2023,Purchase,128.67,Cash,Success,Online,M451
TXN000134,CUST0134,4/21/2023,Purchase,344.24,Cash,Success,In-store,M714
TXN000135,CUST0135,3/1/2024,Purchase,943.48,Credit Card,Success,Online,M700
TXN000136,CUST0136,9/1/2023,Purchase,329.97,Credit Card,Success,Online,M483
TXN000137,CUST0137,11/25/2023,Purchase,523.6,Debit Card,Success,Online,M117
TXN000138,CUST0138,8/23/2024,Purchase,705.99,Cash,Success,Online,M639
TXN000139,CUST0139,4/1/2024,Purchase,369.99,Cash,Success,In-store,M757
TXN000140,CUST0140,3/6/2024,Purchase,972.06,UPI,Success,In-store,M733
TXN000141,CUST0141,11/12/2024,Purchase,962.82,UPI,Success,In-store,M169
TXN000142,CUST0142,8/1/2024,Purchase,259.26,Debit Card,Success,In-store,M382
TXN000143,CUST0143,5/18/2023,Purchase,502.28,Cash,Success,Online,M835
TXN000144,CUST0144,9/7/2024,Purchase,307.87,Cash,Failed,Online,M268
TXN000145,CUST0145,4/2/2024,Purchase,291.99,Cash,Success,Online,M818
TXN000146,CUST0146,10/12/2024,Purchase,46.52,Credit Card,Success,In-store,M338
TXN000147,CUST0147,1/14/2025,Purchase,613.47,Debit Card,Success,Online,M808
TXN000148,CUST0148,4/10/2024,Purchase,507.65,Cash,Success,In-store,M337
TXN000149,CUST0149,11/15/2023,Purchase,60.96,UPI,Success,In-store,M103
TXN000150,CUST0150,3/7/2024,Purchase,285.86,Credit Card,Success,Online,M847
TXN000151,CUST0151,6/8/2023,Purchase,909.18,Credit Card,Success,Online,M284
TXN000152,CUST0152,5/11/2023,Purchase,247.17,UPI,Success,In-store,M688
TXN000153,CUST0153,2/7/2025,Purchase,153.45,UPI,Failed,In-store,M821
TXN000154,CUST0154,9/1/2024,Purchase,494.56,Credit Card,Success,In-store,M290
TXN000155,CUST0155,3/29/2024,Refund,985.79,Credit Card,Success,In-store,M608
TXN000156,CUST0156,9/19/2024,Purchase,249.63,Cash,Success,In-store,M532
TXN000157,CUST0157,9/27/2024,Purchase,675.41,Debit Card,Failed,Online,M392
TXN000158,CUST0158,12/28/2023,Purchase,764,Debit Card,Success,Online,M975
TXN000159,CUST0159,8/1/2024,Purchase,245.26,Cash,Success,Online,M117
TXN000160,CUST0160,8/4/2023,Refund,730.93,Debit Card,Success,Online,M423
TXN000161,CUST0161,11/9/2024,Purchase,374.11,Cash,Success,Online,M384
TXN000162,CUST0162,6/2/2023,Purchase,635.98,UPI,Success,Online,M958
TXN000163,CUST0163,10/1/2023,Purchase,637.19,UPI,Success,In-store,M592
TXN000164,CUST0164,3/15/2025,Purchase,540.42,Cash,Success,Online,M796
TXN000165,CUST0165,5/10/2023,Purchase,99.39,Credit Card,Success,Online,M347
TXN000166,CUST0166,3/28/2025,Purchase,836.95,Cash,Success,Online,M738
TXN000167,CUST0167,9/28/2023,Purchase,327.57,Debit Card,Success,Online,M647
TXN000168,CUST0168,11/29/2024,Purchase,194.65,Debit Card,Success,Online,M532
TXN000169,CUST0169,1/3/2025,Purchase,50.37,Credit Card,Success,Online,M278
TXN000170,CUST0170,11/25/2023,Refund,594.98,Debit Card,Success,Online,M259
TXN000171,CUST0171,9/20/2023,Purchase,680.79,Debit Card,Success,In-store,M168
TXN000172,CUST0172,3/25/2024,Purchase,26.42,Debit Card,Success,In-store,M359
TXN000173,CUST0173,10/29/2024,Purchase,516.97,UPI,Success,In-store,M156
TXN000174,CUST0174,3/3/2025,Purchase,234.23,Debit Card,Success,Online,M463
TXN000175,CUST0175,12/26/2024,Purchase,648.72,UPI,Success,In-store,M168
TXN000176,CUST0176,11/1/2024,Purchase,182.62,Credit Card,Success,Online,M321
TXN000177,CUST0177,5/25/2024,Purchase,694.03,Credit Card,Success,In-store,M996
TXN000178,CUST0178,3/8/2024,Purchase,392.87,UPI,Success,Online,M190
TXN000179,CUST0179,9/18/2024,Purchase,937.36,Debit Card,Success,Online,M644
TXN000180,CUST0180,4/13/2025,Purchase,146.15,Cash,Success,Online,M497
TXN000181,CUST0181,5/13/2023,Purchase,347.66,Debit Card,Success,In-store,M485
TXN000182,CUST0182,10/26/2023,Purchase,122.34,Credit Card,Success,In-store,M133
TXN000183,CUST0183,10/29/2023,Purchase,925.45,Credit Card,Success,Online,M415
TXN000184,CUST0184,10/25/2023,Purchase,878.57,UPI,Success,Online,M596
TXN000185,CUST0185,7/7/2023,Purchase,265.36,Debit Card,Success,Online,M414
TXN000186,CUST0186,12/8/2023,Purchase,663.38,UPI,Success,Online,M561
TXN000187,CUST0187,12/7/2023,Purchase,819.05,Credit Card,Success,Online,M988
TXN000188,CUST0188,4/18/2024,Purchase,559.65,Cash,Success,Online,M349
TXN000189,CUST0189,3/20/2025,Purchase,534.35,Credit Card,Success,Online,M318
TXN000190,CUST0190,9/26/2023,Purchase,249.43,Cash,Success,Online,M665
TXN000191,CUST0191,1/20/2025,Purchase,102.17,Credit Card,Success,In-store,M704
TXN000192,CUST0192,1/14/2025,Purchase,898.24,Credit Card,Success,Online,M958
TXN000193,CUST0193,8/3/2023,Purchase,901.41,Credit Card,Success,Online,M192
TXN000194,CUST0194,2/19/2024,Purchase,636.77,Cash,Success,In-store,M359
TXN000195,CUST0195,3/19/2024,Purchase,345.64,UPI,Success,Online,M564
TXN000196,CUST0196,7/13/2023,Refund,355.72,Cash,Success,Online,M850
TXN000197,CUST0197,5/22/2023,Purchase,728.7,Credit Card,Failed,Online,M858
TXN000198,CUST0198,6/16/2024,Purchase,898.14,Cash,Success,Online,M612
TXN000199,CUST0199,10/21/2023,Purchase,888.22,Credit Card,Success,Online,M447
TXN000200,CUST0200,1/30/2024,Purchase,782.08,Cash,Success,Online,M271
TXN000201,CUST0201,1/19/2025,Purchase,645.61,Debit Card,Success,In-store,M367
TXN000202,CUST0202,2/6/2025,Purchase,93.3,Debit Card,Success,Online,M566
TXN000203,CUST0203,12/12/2023,Purchase,170.01,Cash,Success,Online,M406
TXN000204,CUST0204,6/2/2024,Purchase,899.57,UPI,Success,Online,M985
TXN000205,CUST0205,8/12/2024,Purchase,610.36,Debit Card,Success,In-store,M409
TXN000206,CUST0206,7/16/2024,Purchase,19.11,Cash,Success,In-store,M947
TXN000207,CUST0207,4/4/2024,Purchase,110.46,Cash,Success,In-store,M231
TXN000208,CUST0208,1/13/2025,Refund,666.87,Debit Card,Success,Online,M102
TXN000209,CUST0209,12/5/2024,Purchase,15.01,Credit Card,Success,In-store,M292
TXN000210,CUST0210,1/5/2025,Purchase,169.2,Debit Card,Success,Online,M435
TXN000211,CUST0211,10/7/2024,Purchase,553.25,Cash,Success,In-store,M720
TXN000212,CUST0212,10/2/2024,Purchase,694.98,Credit Card,Success,In-store,M368
TXN000213,CUST0213,8/5/2023,Purchase,655.44,Debit Card,Success,Online,M388
TXN000214,CUST0214,10/30/2024,Purchase,232.03,Debit Card,Success,In-store,M205
TXN000215,CUST0215,10/2/2024,Purchase,715.06,UPI,Success,Online,M117
TXN000216,CUST0216,6/4/2023,Refund,244.88,Debit Card,Success,Online,M864
TXN000217,CUST0217,11/6/2024,Purchase,332.15,Cash,Failed,In-store,M994
TXN000218,CUST0218,6/16/2024,Purchase,749.03,UPI,Success,Online,M788
TXN000219,CUST0219,4/28/2023,Purchase,653.14,Credit Card,Success,Online,M270
TXN000220,CUST0220,10/12/2024,Purchase,850.73,Debit Card,Success,Online,M839
TXN000221,CUST0221,3/11/2024,Purchase,661.04,UPI,Success,Online,M331
TXN000222,CUST0222,12/29/2023,Purchase,572.63,Debit Card,Success,Online,M901
TXN000223,CUST0223,1/22/2025,Purchase,102.74,Debit Card,Success,Online,M616
TXN000224,CUST0224,7/20/2023,Purchase,374.04,Cash,Failed,Online,M592
TXN000225,CUST0225,9/14/2023,Purchase,272.55,Debit Card,Success,Online,M760
TXN000226,CUST0226,3/12/2024,Purchase,251.55,UPI,Success,In-store,M331
TXN000227,CUST0227,5/7/2024,Refund,973.28,Cash,Success,Online,M958
TXN000228,CUST0228,12/26/2023,Purchase,399.17,Credit Card,Success,Online,M465
TXN000229,CUST0229,12/20/2024,Purchase,893.13,Credit Card,Success,In-store,M184
TXN000230,CUST0230,8/9/2024,Purchase,634.83,UPI,Success,Online,M650
TXN000231,CUST0231,2/24/2024,Purchase,796.86,UPI,Success,Online,M865
TXN000232,CUST0232,10/9/2023,Purchase,507.61,Credit Card,Success,In-store,M798
TXN000233,CUST0233,2/29/2024,Purchase,581.13,Cash,Success,Online,M816
TXN000234,CUST0234,3/20/2024,Purchase,497.59,UPI,Success,In-store,M872
TXN000235,CUST0235,11/11/2024,Purchase,203.29,Cash,Success,Online,M980
TXN000236,CUST0236,8/30/2023,Purchase,725.23,UPI,Success,Online,M516
TXN000237,CUST0237,12/21/2023,Purchase,287.96,Cash,Success,Online,M523
TXN000238,CUST0238,4/30/2024,Purchase,34.07,Cash,Success,Online,M417
TXN000239,CUST0239,9/29/2024,Refund,649.02,Debit Card,Success,Online,M987
TXN000240,CUST0240,8/1/2023,Purchase,185.34,Credit Card,Success,Online,M985
TXN000241,CUST0241,10/31/2023,Refund,941.05,UPI,Success,Online,M608
TXN000242,CUST0242,5/24/2023,Purchase,954.39,Credit Card,Success,Online,M590
TXN000243,CUST0243,3/14/2024,Refund,915.72,Cash,Failed,In-store,M409
TXN000244,CUST0244,4/6/2025,Purchase,376.46,Debit Card,Success,In-store,M197
TXN000245,CUST0245,10/2/2024,Purchase,25.3,UPI,Success,Online,M308
TXN000246,CUST0246,3/6/2024,Purchase,929.04,Credit Card,Success,Online,M192
TXN000247,CUST0247,1/31/2024,Refund,433.9,Credit Card,Success,Online,M308
TXN000248,CUST0248,9/8/2024,Purchase,966.99,UPI,Failed,Online,M475
TXN000249,CUST0249,8/31/2023,Purchase,963.98,Credit Card,Success,In-store,M178
TXN000250,CUST0250,7/12/2024,Purchase,854.48,Cash,Success,Online,M617
TXN000251,CUST0251,9/7/2023,Purchase,301.5,Cash,Success,Online,M790
TXN000252,CUST0252,5/27/2024,Purchase,391.25,Cash,Success,In-store,M292
TXN000253,CUST0253,11/23/2024,Purchase,852.63,Debit Card,Success,In-store,M108
TXN000254,CUST0254,7/9/2024,Purchase,323.75,Cash,Success,In-store,M244
TXN000255,CUST0255,9/4/2024,Purchase,177.8,UPI,Success,Online,M463
TXN000256,CUST0256,6/18/2023,Purchase,561.23,Cash,Success,Online,M626
TXN000257,CUST0257,9/13/2024,Purchase,936.79,Credit Card,Success,In-store,M482
TXN000258,CUST0258,5/31/2024,Purchase,699.07,Debit Card,Success,Online,M300
TXN000259,CUST0259,8/17/2024,Purchase,574.36,Cash,Success,Online,M373
TXN000260,CUST0260,4/4/2025,Purchase,106.2,Debit Card,Success,Online,M528
TXN000261,CUST0261,12/31/2023,Purchase,618.86,Debit Card,Success,In-store,M890
TXN000262,CUST0262,5/29/2023,Purchase,990.15,UPI,Success,Online,M425
TXN000263,CUST0263,2/6/2025,Purchase,148.68,Debit Card,Success,Online,M647
TXN000264,CUST0264,8/4/2024,Purchase,523.15,Credit Card,Success,In-store,M934
TXN000265,CUST0265,6/9/2024,Purchase,878.6,Credit Card,Success,Online,M180
TXN000266,CUST0266,2/21/2024,Purchase,743.36,UPI,Success,Online,M457
TXN000267,CUST0267,3/17/2025,Purchase,700.05,Debit Card,Success,In-store,M315
TXN000268,CUST0268,3/6/2024,Purchase,705.46,Debit Card,Success,Online,M736
TXN000269,CUST0269,9/30/2023,Purchase,365.9,Cash,Success,Online,M639
TXN000270,CUST0270,5/30/2024,Refund,300.66,Credit Card,Success,In-store,M894
TXN000271,CUST0271,4/15/2024,Purchase,811.27,Credit Card,Success,Online,M650
TXN000272,CUST0272,12/22/2023,Purchase,812.01,Cash,Success,Online,M473
TXN000273,CUST0273,7/6/2024,Refund,868.4,UPI,Success,Online,M753
TXN000274,CUST0274,5/27/2023,Purchase,914.11,Debit Card,Success,In-store,M271
TXN000275,CUST0275,5/14/2023,Purchase,516.23,Debit Card,Success,Online,M810
TXN000276,CUST0276,3/29/2025,Purchase,506.5,Cash,Success,Online,M221
TXN000277,CUST0277,7/31/2024,Purchase,800.31,UPI,Success,Online,M600
TXN000278,CUST0278,10/28/2024,Purchase,653.46,Cash,Success,Online,M663
TXN000279,CUST0279,12/29/2023,Purchase,704.95,Cash,Success,In-store,M716
TXN000280,CUST0280,11/8/2024,Purchase,797.83,Debit Card,Failed,Online,M435
TXN000281,CUST0281,6/10/2023,Refund,891.11,Debit Card,Success,Online,M451
TXN000282,CUST0282,12/28/2024,Purchase,344.62,Cash,Success,In-store,M997
TXN000283,CUST0283,6/18/2023,Purchase,381.83,UPI,Success,Online,M737
TXN000284,CUST0284,6/3/2024,Purchase,103.04,Credit Card,Success,Online,M926
TXN000285,CUST0285,1/20/2025,Purchase,582.5,Cash,Success,Online,M734
TXN000286,CUST0286,11/16/2023,Purchase,45.58,UPI,Success,In-store,M159
TXN000287,CUST0287,5/20/2023,Purchase,470.94,Debit Card,Success,Online,M928
TXN000288,CUST0288,1/3/2024,Purchase,547.22,Cash,Success,In-store,M691
TXN000289,CUST0289,3/4/2024,Purchase,293.68,Credit Card,Success,In-store,M635
TXN000290,CUST0290,7/31/2024,Purchase,594.92,Debit Card,Success,Online,M410
TXN000291,CUST0291,2/4/2025,Purchase,40.2,Debit Card,Success,Online,M822
TXN000292,CUST0292,4/3/2024,Purchase,46.97,Debit Card,Success,Online,M793
TXN000293,CUST0293,7/29/2023,Purchase,824.37,Credit Card,Success,In-store,M912
TXN000294,CUST0294,1/29/2025,Purchase,366.59,Debit Card,Success,Online,M177
TXN000295,CUST0295,1/1/2024,Purchase,135.79,UPI,Success,In-store,M274
TXN000296,CUST0296,1/8/2025,Purchase,527.02,Cash,Success,Online,M667
TXN000297,CUST0297,3/5/2025,Purchase,772.29,Cash,Success,In-store,M484
TXN000298,CUST0298,7/14/2023,Purchase,223.66,UPI,Success,In-store,M438
TXN000299,CUST0299,3/27/2024,Purchase,626.66,UPI,Success,Online,M469
TXN000300,CUST0300,2/13/2024,Purchase,94.49,UPI,Success,In-store,M927
TXN000301,CUST0301,11/7/2023,Purchase,61.16,Credit Card,Success,In-store,M631
TXN000302,CUST0302,8/5/2023,Purchase,536.04,Credit Card,Success,Online,M959
TXN000303,CUST0303,9/28/2023,Refund,545.23,Debit Card,Success,Online,M986
TXN000304,CUST0304,1/1/2024,Purchase,641.06,Cash,Success,Online,M213
TXN000305,CUST0305,10/25/2024,Purchase,728.83,UPI,Success,Online,M485
TXN000306,CUST0306,11/1/2024,Purchase,976.09,Cash,Success,Online,M571
TXN000307,CUST0307,5/26/2023,Purchase,521.14,Credit Card,Success,In-store,M453
TXN000308,CUST0308,7/31/2023,Purchase,329.73,Credit Card,Success,Online,M876
TXN000309,CUST0309,12/6/2024,Purchase,797.23,Debit Card,Success,Online,M735
TXN000310,CUST0310,2/5/2025,Purchase,278.12,Cash,Success,Online,M282
TXN000311,CUST0311,1/10/2025,Refund,444.58,UPI,Success,Online,M320
TXN000312,CUST0312,9/1/2023,Refund,87.67,Credit Card,Failed,Online,M650
TXN000313,CUST0313,8/20/2024,Purchase,35.1,UPI,Success,Online,M310
TXN000314,CUST0314,9/6/2024,Purchase,963.02,UPI,Success,Online,M974
TXN000315,CUST0315,5/8/2023,Purchase,837.62,UPI,Failed,Online,M199
TXN000316,CUST0316,8/27/2024,Purchase,699.01,Debit Card,Success,Online,M701
TXN000317,CUST0317,11/6/2023,Purchase,414.86,Debit Card,Success,Online,M325
TXN000318,CUST0318,11/24/2024,Purchase,181.56,Cash,Success,Online,M418
TXN000319,CUST0319,2/9/2025,Purchase,164.87,Cash,Success,In-store,M645
TXN000320,CUST0320,3/24/2024,Refund,257.74,Credit Card,Success,Online,M880
TXN000321,CUST0321,3/9/2025,Purchase,553.73,UPI,Success,In-store,M685
TXN000322,CUST0322,12/30/2023,Purchase,717.45,UPI,Success,Online,M193
TXN000323,CUST0323,3/12/2025,Purchase,663.6,Cash,Success,In-store,M660
TXN000324,CUST0324,4/10/2024,Purchase,287.13,Cash,Success,Online,M833
TXN000325,CUST0325,12/4/2023,Purchase,955.32,UPI,Success,Online,M883
TXN000326,CUST0326,8/12/2024,Purchase,740.52,Credit Card,Success,In-store,M142
TXN000327,CUST0327,7/10/2024,Purchase,558.81,Cash,Success,In-store,M849
TXN000328,CUST0328,10/11/2024,Purchase,615.6,Debit Card,Success,Online,M156
